Death_Rate,Time,Type,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High_School_Education,Registered_Firearms,Population
18.4,4,Red,111,3.5,39.1,0.781,0.4325,64500,176644,0.017550992,6902173.913
12.7,4,Red,3532,3.5,35.4,0.731,0.4727,76820,1480753,0.02501269,29000000
12.8,4,Red,276,2.4,31.9,0.852,0.554,96270,4734422,0.030356142,3078125
9.3,4,Blue,181,2.1,41.1,0.861,0.5178,84630,442206,0.010710269,720430.1075
11.7,4,Blue,1283,2.8,39.3,0.815,0.931,92610,129254,0.04074602,8760683.761
10.7,4,Blue,1342,3.8,38.9,0.832,0.50127,93910,1387610,0.015227676,7869158.879
16.6,4,Red,291,5.2,42.2,0.789,0.617,61170,1167347,0.023046887,1807228.916
10,4,Swing,900,3.1,40.7,0.841,0.5435,76720,515431,0.013185265,6040000
22.3,4,Red,91,4.2,39.2,0.861,0.681,74190,1223392,0.224760526,596412.5561
23.6,5,Red,783,4.5,39.1,0.742,0.8033,61650,1059263,0.036761395,4834745.763
23.5,5,Red,132,7.3,35.2,0.8112,0.6021,84260,137314.5,0.031496714,744680.8511
16.7,5,Swing,972,6.6,38.7,0.732,0.7582,75620,1169371,0.029606658,7574850.299
22.6,5,Red,287,5.1,37.3,0.752,0.5344,57240,702684,0.034803664,2977876.106
8.5,5,Blue,5232,9.1,36.3,0.771,0.641,87530,5562854,0.009532495,40576470.59
15.4,5,Blue,811,6.4,37.7,0.832,0.3522,94440,825481.5,0.021059082,5987012.987
6,5,Blue,501,7.3,41.2,0.831,0.869,89540,657568.5,0.02062411,3650000
14.4,5,Blue,267,5.6,40.9,0.806,0.301,78930,204504,0.005936,937500
13.7,5,Swing,2611,6.4,42.7,0.736,0.5164,65110,75403,0.022393846,22197080.29
17.7,5,Swing,1456,5,36.1,0.741,0.5242,66810,4379794,0.023466542,10717514.12
3.4,5,Blue,297,10.3,40.5,0.845,0.4429,91110,1935160.5,0.00625328,1470588.235
17.6,5,Red,230,4.2,37.2,0.836,0.6822,75220,271258,0.038053832,1823863.636
14.1,5,Blue,1189,7.6,38.3,0.811,0.6732,83790,321778,0.012137474,12375886.52
17.3,5,Red,1523,5,36.7,0.823,0.4321,75310,2225302,0.021339304,6699421.965
11.2,5,Red,161,4.3,38.1,0.891,0.6441,77570,1522410.5,0.014873664,3133928.571
16.9,5,Red,313,4.3,37.8,0.859,0.4465,82380,652747,0.020794184,2923076.923
20.1,5,Red,720,4.7,40.6,0.785,0.6237,63980,498840,0.022128941,4487562.189
26.3,5,Red,670,7.4,38.2,0.755,0.527,57700,1010298.5,0.028330636,4498098.859
10.4,5,Blue,305,4.2,44.4,0.841,0.3355,71800,1044734,0.012707712,1471153.846
13.5,5,Blue,733,6.7,39.2,0.8182,0.144,106900,305851.5,0.021312011,5948148.148
3.7,5,Blue,1333,7.8,39.4,0.813,0.7364,98980,1024841.5,0.005491877,7243243.243
14.6,5,Swing,1523,7,40.1,0.821,0.698,72590,1141100,0.009368199,9958904.11
8.9,5,Swing,901,4.8,38.3,0.871,0.8128,88770,2004623,0.018692255,5764044.944
28.6,5,Red,456,6.6,38.1,0.728,0.8913,50880,924757.5,0.024136582,2860139.86
23.9,5,Red,991,5,39.3,0.8214,0.6261,70090,592398,0.016563739,5966527.197
20.9,5,Red,204,4.2,40.1,0.811,0.503,63960,1306376.5,0.024120181,1138755.981
10.1,5,Red,348,3.1,38.1,0.847,0.409,81440,208303,0.017449416,1950495.05
17,5,Swing,423,9.7,38.1,0.7412,0.8421,68950,325794.5,0.03263192,3217647.059
8.9,5,Blue,311,4.6,41.7,0.821,0.7721,100200,595401,0.044300445,1438202.247
5,5,Blue,966,7.2,40.5,0.784,0.617,96430,271504.5,0.010818059,8860000
22.7,5,Blue,207,8.5,39.5,0.715,0.4152,57380,1657871.5,0.054994186,2110132.159
5.3,5,Blue,2134,8.7,39.3,0.748,0.2622,77400,374443.5,0.004421671,19849056.6
16,5,Swing,1232,5.8,39.2,0.769,0.533,68120,3466809,0.018480235,10618750
13.8,5,Red,78,4.4,35.3,0.879,0.7472,72270,1820818,0.0336237,724637.6812
15.2,5,Swing,1863,6.3,36.3,0.821,0.6334,68060,133874,0.016154567,11605263.16
